2026-08-22 21:40:33.705 | DEBUG    | elims_instruments.intruments.factory | elims_instruments.intruments.factory:create:61 - Created Keysight34401A driver for asset DMM-001
2026-08-22 21:40:33.705 | DEBUG    | elims_instruments.intruments.factory | elims_instruments.intruments.factory:create_instruments:114 - Resolving bench instrument counter from asset CNT-001
2026-08-22 21:40:33.705 | DEBUG    | elims_instruments.intruments.factory | elims_instruments.database.crud:fetch:112 - fetch
2026-08-22 21:40:33.705 | DEBUG    | elims_instruments.intruments.factory | elims_instruments.intruments.factory:create:48 - Selecting driver for asset CNT-001 with type counter
2026-08-22 21:40:33.705 | DEBUG    | elims_instruments.intruments.counter.factory | elims_instruments.intruments.counter.factory:create:67 - Creating Keysight53220A driver for counter asset CNT-001
2026-08-22 21:40:33.705 | DEBUG    | elims_instruments.intruments.abstract | elims_instruments.intruments.abstract:__init__:21 - Initialized Keysight53220A driver for asset CNT-001
2026-08-22 21:40:33.705 | DEBUG    | elims_instruments.intruments.factory | elims_instruments.intruments.factory:create:61 - Created Keysight53220A driver for asset CNT-001
2026-08-22 21:40:33.705 | INFO     | elims_instruments.intruments.factory | elims_instruments.intruments.factory:create_instruments:122 - Created 2 instrument drivers
2026-08-22 21:40:33.705 | INFO     | elims_instruments.boards.factory | elims_instruments.boards.factory:create_boards:86 - Creating 0 board drivers using bench configuration C:\Users\fabie\AppData\Local\Temp\elims-instruments-pytest-duts-all\test_bench_creates_named_drive0\bench.toml
2026-08-22 21:40:33.706 | INFO     | elims_instruments.boards.factory | elims_instruments.boards.factory:create_boards:103 - Created 0 board drivers
2026-08-22 21:40:33.706 | INFO     | elims_instruments.duts.factory | elims_instruments.duts.factory:create_duts:86 - Creating 0 DUTs using bench configuration C:\Users\fabie\AppData\Local\Temp\elims-instruments-pytest-duts-all\test_bench_creates_named_drive0\bench.toml
2026-08-22 21:40:33.707 | INFO     | elims_instruments.duts.factory | elims_instruments.duts.factory:create_duts:103 - Created 0 DUTs
2026-08-22 21:40:33.707 | INFO     | elims_instruments.bench.bench | elims_instruments.bench.bench:__init__:121 - Loaded bench with 2 instruments, 0 boards, and 0 DUTs
2026-08-22 21:40:33.800 | INFO     | elims_instruments.bench.bench | elims_instruments.bench.bench:__init__:103 - Loading bench from C:\Users\fabie\AppData\Local\Temp\elims-instruments-pytest-duts-all\test_bench_creates_named_board0\bench.toml
2026-08-22 21:40:33.800 | DEBUG    | elims_instruments.bench.bench | elims_instruments.bench.bench:_read_assignments:40 - Reading bench instruments from C:\Users\fabie\AppData\Local\Temp\elims-instruments-pytest-duts-all\test_bench_creates_named_board0\bench.toml
2026-08-22 21:40:33.800 | DEBUG    | elims_instruments.bench.bench | elims_instruments.bench.bench:_read_assignments:86 - Validated bench instruments assignment primary_dmm -> DMM-001
2026-08-22 21:40:33.800 | DEBUG    | elims_instruments.bench.bench | elims_instruments.bench.bench:_read_assignments:87 - Validated 1 bench instruments
2026-08-22 21:40:33.800 | DEBUG    | elims_instruments.bench.bench | elims_instruments.bench.bench:_read_assignments:40 - Reading bench boards from C:\Users\fabie\AppData\Local\Temp\elims-instruments-pytest-duts-all\test_bench_creates_named_board0\bench.toml
2026-08-22 21:40:33.800 | DEBUG    | elims_instruments.bench.bench | elims_instruments.bench.bench:_read_assignments:86 - Validated bench boards assignment characterization_board -> BRD-001
2026-08-22 21:40:33.800 | DEBUG    | elims_instruments.bench.bench | elims_instruments.bench.bench:_read_assignments:87 - Validated 1 bench boards
2026-08-22 21:40:33.800 | DEBUG    | elims_instruments.bench.bench | elims_instruments.bench.bench:_read_assignments:40 - Reading bench duts from C:\Users\fabie\AppData\Local\Temp\elims-instruments-pytest-duts-all\test_bench_creates_named_board0\bench.toml
2026-08-22 21:40:33.800 | INFO     | elims_instruments.intruments.factory | elims_instruments.intruments.factory:create_instruments:105 - Creating 1 instrument drivers using bench configuration C:\Users\fabie\AppData\Local\Temp\elims-instruments-pytest-duts-all\test_bench_creates_named_board0\bench.toml
2026-08-22 21:40:33.801 | DEBUG    | elims_instruments.intruments.factory | elims_instruments.intruments.factory:create_instruments:114 - Resolving bench instrument primary_dmm from asset DMM-001
2026-08-22 21:40:33.801 | DEBUG    | elims_instruments.intruments.factory | elims_instruments.database.crud:fetch:112 - fetch
2026-08-22 21:40:33.802 | DEBUG    | elims_instruments.intruments.factory | elims_instruments.intruments.factory:create:48 - Selecting driver for asset DMM-001 with type multimeter
2026-08-22 21:40:33.802 | DEBUG    | elims_instruments.intruments.multimeter.factory | elims_instruments.intruments.multimeter.factory:create:67 - Creating Keysight34401A driver for multimeter asset DMM-001
2026-08-22 21:40:33.802 | DEBUG    | elims_instruments.intruments.abstract | elims_instruments.intruments.abstract:__init__:21 - Initialized Keysight34401A driver for asset DMM-001
2026-08-22 21:40:33.802 | DEBUG    | elims_instruments.intruments.factory | elims_instruments.intruments.factory:create:61 - Created Keysight34401A driver for asset DMM-001
2026-08-22 21:40:33.802 | INFO     | elims_instruments.intruments.factory | elims_instruments.intruments.factory:create_instruments:122 - Created 1 instrument drivers
2026-08-22 21:40:33.802 | INFO     | elims_instruments.boards.factory | elims_instruments.boards.factory:create_boards:86 - Creating 1 board drivers using bench configuration C:\Users\fabie\AppData\Local\Temp\elims-instruments-pytest-duts-all\test_bench_creates_named_board0\bench.toml
2026-08-22 21:40:33.803 | DEBUG    | elims_instruments.boards.factory | elims_instruments.boards.factory:create_boards:95 - Resolving board characterization_board from asset BRD-001
2026-08-22 21:40:33.803 | DEBUG    | elims_instruments.boards.factory | elims_instruments.database.crud:fetch:112 - fetch
2026-08-22 21:40:33.803 | DEBUG    | elims_instruments.boards.factory | elims_instruments.boards.factory:create:43 - Creating Board driver for board asset BRD-001
2026-08-22 21:40:33.803 | DEBUG    | elims_instruments.boards.abstract | elims_instruments.boards.abstract:__init__:20 - Initialized Board driver for board asset BRD-001
2026-08-22 21:40:33.803 | INFO     | elims_instruments.boards.factory | elims_instruments.boards.factory:create_boards:103 - Created 1 board drivers
